name,phone,city,state,zip,oem_source,license_number,license_expiration_date,icp_score,tier,resimercial_score,om_score,mepr_score,multi_oem_score
VETERAN ELECTRICAL LLC,(619) 760-6260,ive heath,TX,75126.0,Generac,35450,2026-09-28,32,BRONZE,40,0,50,25
ICON POWER SOLUTIONS LLC,(832) 217-9126,katy,TX,77449.0,Generac,35536,2026-10-26,32,BRONZE,40,0,50,25
CARRIERE HVAC-ELECTRIC INC,(832) 913-9261,katy,TX,77494.0,Generac,35250,2026-05-04,32,BRONZE,40,0,50,25
THE SHOCK DOC ELECTRICAL SRVCS LLC,(409) 739-3891,unit a league city,TX,77573.0,Generac,35194,2026-04-09,32,BRONZE,40,0,50,25
"BIG STAR ELECTRICAL, LLC",(832) 650-0601,friendswood,TX,77546.0,Generac,35919,2026-04-11,32,BRONZE,40,0,50,25
"DIAMONDBACK ELECTRICAL SERIVCES, LL",(210) 409-7271,la vernia,TX,78121.0,Generac,35003,2026-02-10,32,BRONZE,40,0,50,25
G. O. ELECTRICAL LLC,(214) 884-8227,,TX,76054.0,Generac,34744,2026-09-12,32,BRONZE,40,0,50,25
TEX-PRO ELECTRICAL LLC,(281) 854-8714,missouri city,TX,77489.0,Generac,36155,2026-06-23,32,BRONZE,40,0,50,25
WADE ELECTRICAL GROUP INC,9404658159,SANGER,TX,76266.0,Briggs & Stratton,34391,2026-09-29,32,BRONZE,40,0,50,25
AUSTIN GENERATOR SERVICE,(512) 251-2247,in,TX,78728.0,Generac,29729,2024-07-25,32,BRONZE,40,40,25,25
SHEARER ELECTRIC COMPANY,(972) 288-9778,mesquite,TX,75149.0,Generac,36351,2026-08-30,32,BRONZE,40,40,25,25
ESA SYSTEMS LLC,(713) 828-9657,ribbon creek san antonio,TX,78238.0,Generac,34150,2026-02-17,32,BRONZE,40,0,50,25
"TEXADIA HOME TECHNOLOGIES, LLC",(214) 956-5820,addison,TX,75001.0,Generac,36724,2026-01-06,32,BRONZE,40,40,25,25
"CANTER POWER SYSTEMS, LLC",(336) 448-4000,on,TX,77043.0,Generac,33979,2026-10-31,32,BRONZE,40,0,50,25
Bosworth Company - Midland / The Bosworth Company,4326835233,Midland,TX,79706.0,Mitsubishi,18700,2026-08-20,32,BRONZE,40,40,25,25
MORGAN AIR SERVICES LLC MORGAN PRO SERVI,(713) 466-7426,on,TX,77092.0,Generac,33752,2026-08-12,32,BRONZE,40,40,25,25
JTX ELECTRICAL LLC,(512) 663-7134,leander,TX,78641.0,Generac,37015,2026-04-20,32,BRONZE,40,0,50,25
"Ferezco Power Systems, Llc - Poteet",830 742-8680,Poteet,TEXAS,78065.0,Cummins,32703,2026-08-14,32,BRONZE,40,0,50,25
TeraVolt Energy,2103748372,NEW BRAUNFELS,CA,78132.0,Briggs & Stratton,29751,2026-08-12,32,BRONZE,40,0,50,25
MEND SERVICES,(512) 206-3188,in,TX,78747.0,Generac,35517,2026-10-19,32,BRONZE,40,40,25,25
ASPIRE SALES & ELECTRICAL SERV. LLC,(281) 242-2471,,TX,77477.0,Generac,25185,2026-02-05,32,BRONZE,40,0,50,25
ABSOLUTE PWR ELECTRIC CONTRACTORS,(210) 647-3138,san antonio,TX,78249.0,Generac,22434,2026-08-27,32,BRONZE,40,0,50,25
EP Mechanical Technologies,9155441550,El Paso,TX,79901.0,Mitsubishi,26009,2026-02-27,32,BRONZE,40,0,50,25
MIDWAY ELECTRICAL GROUP LLC,(214) 681-4761,dallas,TX,75248.0,Generac,39741,2025-12-03,32,BRONZE,40,0,50,25
Carlisle Power Systems Inc - Waxahachie,972 351-9064,Waxahachie,TEXAS,75165.0,Cummins,25954,2026-01-13,32,BRONZE,40,0,50,25
BLACKBELT COMPANY,(210) 862-9189,w ansley san antonio,TX,78221.0,Generac,23539,2026-07-31,32,BRONZE,40,40,25,25
WILLIAMS ELECTRIC & HVAC,(817) 523-5353,springtown,TX,76082.0,Generac,26220,2026-04-16,32,BRONZE,40,0,50,25
HARTER ELECTRIC SERVICE INC,(817) 831-2531,haltom city,TX,76117.0,Generac,23122,2026-03-06,32,BRONZE,40,40,25,25
Mico Environmental Solutions L.L.C. - Houston,281 502-0062,Houston,TEXAS,77339.0,Cummins,26366,2024-06-14,32,BRONZE,40,0,50,25
210 ELECTRICAL LLC,(210) 677-9818,san antonio,TX,78233.0,Generac,40001,2026-02-24,32,BRONZE,40,0,50,25
EXTREME POWER SERVICES,(832) 467-8800,on,TX,77041.0,Generac,22864,2025-12-18,32,BRONZE,40,40,25,25
"THE LENTZ COMPANIES, INC.",(972) 241-0622,indian trail dallas,TX,75229.0,Generac,24390,2026-04-07,32,BRONZE,40,40,25,25
HONEST PLUMBING AND AIR,(512) 238-2058,hutto,TX,78634.0,Generac,39562,2026-10-02,32,BRONZE,40,0,50,25
"Gogen Services, Inc. - Sulphur",337 527-5599,Sulphur,LOUISIANA,70663.0,Cummins,29425,2026-02-11,32,BRONZE,40,40,25,25
"TRIBECA PLUMBING, INC.",(214) 402-5454,dallas,TX,75225.0,Generac,39539,2026-09-27,32,BRONZE,40,0,50,25
Stewart Power Services Llc - Bossier City,318 747-5605,Bossier City,LOUISIANA,71111.0,Cummins,25996,2025-12-30,32,BRONZE,40,40,25,25
NEW PARTNERS COMMUNITY SOLAR,9999999999,WASHINGTON,DC,20001.0,Briggs & Stratton,24296,2026-10-10,32,BRONZE,40,40,25,25
WEEKS SERVICE CO,(281) 332-9555,s league city,TX,77573.0,Generac,17036,2026-07-13,32,BRONZE,40,40,25,25
Bnk Generator Services - Gilmer,903 746-1058,Gilmer,TEXAS,75644.0,Cummins,28302,2026-08-18,32,BRONZE,40,40,25,25
PRINCIPAL ELECTRICAL CONTRACTOR LLC,(713) 895-9606,on,TX,77080.0,Generac,29344,2025-12-22,32,BRONZE,40,0,50,25
"ALLIED ELECTRIC SERVICES, INC.",(512) 930-0767,georgetown,TX,78626.0,Generac,21659,2026-02-26,32,BRONZE,40,40,25,25
Brubaker Builders Llc - Rockledge,321 608-4850,Rockledge,FLORIDA,32955.0,Cummins,40688,2026-09-12,32,BRONZE,40,0,50,25
TMCO/TEMPERATURE MAINTENANCE CO INC,(713) 294-2151,on,TX,77026.0,Generac,27372,2025-12-31,32,BRONZE,40,40,25,25
"CSG COMPANIES, LLC",(214) 631-4820,seagoville,TX,75159.0,Generac,39363,2026-08-19,32,BRONZE,40,40,25,25
"SYMCY SERVICES, LLC",(210) 417-5319,e,TX,78163.0,Generac,20294,2026-09-02,32,BRONZE,40,40,25,25
American Services - Hockley,281 355-9100,Hockley,TEXAS,77447.0,Cummins,19746,2025-12-01,32,BRONZE,40,40,25,25
THE OSCAR W. LARSON COMPANY,(817) 319-6103,fort worth,TX,76137.0,Generac,20921,2026-01-23,32,BRONZE,40,40,25,25
TEXAS ELECTRICAL RESI CONTRS LLC,(713) 721-4669,on,TX,77085.0,Generac,25383,2026-05-02,32,BRONZE,40,0,50,25
"VILLAGE PLUMBING, AIR AND ELECTRIC",(713) 526-1491,on,TX,77041.0,Generac,39310,2026-07-18,32,BRONZE,40,0,50,25
SOLARUGREEN CORPORATION,(682) 718-4741,,TX,76053.0,Generac,36710,2026-11-06,26,BRONZE,40,0,25,25
"Ttg Electric Co., Inc. - Killeen",254 526-7284,Killeen,TEXAS,76549.0,Cummins,17420,2026-07-23,26,BRONZE,40,0,25,25
PARTICLE PRO ELECTRIC LLC,(346) 443-1681,spring,TX,77373.0,Generac,36847,2026-02-26,26,BRONZE,40,0,25,25
"ES Solar, LLC",(801) 614-0606,,CA,,Tesla,36943,2026-03-25,26,BRONZE,40,0,25,25
NORTH TEXAS GENERATORS LLC,(817) 900-2714,haslet,TX,76052.0,Generac,36828,2026-02-16,26,BRONZE,40,0,25,25
LIMITLESS ELECTRIC LLC,(936) 200-7165,humble,TX,77346.0,Generac,36854,2026-03-01,26,BRONZE,40,0,25,25
Frischhertz Electric Co. - New Orleans,504 482-1146,New Orleans,LOUISIANA,70119.0,Cummins,39099,2026-04-26,26,BRONZE,40,0,25,25
NIVO SOLAR LLC,(346) 425-0650,on,TX,77043.0,Generac,40396,2026-06-19,26,BRONZE,40,0,25,25
LT ELECTRIC,(512) 923-9354,pinseeker selma,TX,78154.0,Generac,36262,2026-04-30,26,BRONZE,40,0,25,25
ARI-TEX ELECTRIC INC,(972) 727-9902,allen,TX,75002.0,Generac,17608,2026-07-26,26,BRONZE,40,0,25,25
Bell Mountain Solar,8013722488,Pleasant Grove ,UT,84062.0,SMA Solar,40047,2026-03-10,26,BRONZE,40,0,25,25
"JH ELECTRIC, LLC",(469) 734-4744,frisco,TX,75035.0,Generac,40606,2026-08-19,26,BRONZE,40,0,25,25
LUX ELECTRIC LLC,(214) 908-1605,fort worth,TX,76107.0,Generac,36154,2026-06-23,26,BRONZE,40,0,25,25
CIRCLE A ELECTRIC INC.,(817) 625-0880,saginaw,TX,76131.0,Generac,17781,2026-07-26,26,BRONZE,40,0,25,25
PREMIER POWER AND LIGHTING LLC,(214) 908-1129,paige bend hutto,TX,78634.0,Generac,36048,2026-08-16,26,BRONZE,40,0,25,25
STARLIGHT SOLAR,(713) 929-9454,on,TX,77045.0,Generac,35983,2026-04-27,26,BRONZE,40,0,25,25
Astrogen - Humble,832 429-8022,Humble,TEXAS,77338.0,Cummins,40607,2026-08-19,26,BRONZE,40,0,25,25
Texas Solar Professional LLC,(469) 581-0008,,TX,,Tesla,35727,2026-02-09,26,BRONZE,40,0,25,25
ROBERT MONROE INTERESTS LLC.,(281) 880-8805,on,TX,77086.0,Generac,35682,2025-01-20,26,BRONZE,40,0,25,25
Trizone Electric - Houston,713 870-4111,Houston,TEXAS,77042.0,Cummins,35571,2026-11-09,26,BRONZE,40,0,25,25
EPX GROUP LLC,(737) 240-3344,georgetown,TX,78633.0,Generac,40401,2026-06-20,26,BRONZE,40,0,25,25
AIRE SERV OF FORT WORTH,(817) 367-2473,e b lake worth,TX,76135.0,Generac,40036,2026-03-04,26,BRONZE,40,0,25,25
4b Electric Inc - Weatherford,682 327-6623,Weatherford,TEXAS,76088.0,Cummins,37044,2026-05-02,26,BRONZE,40,0,25,25
Eagle Solar Power,8179179965,MANSFIELD,TX,76063.0,Briggs & Stratton,38038,2026-04-27,26,BRONZE,40,0,25,25
VENARI ELECTRIC LLC,(713) 594-1967,la porte,TX,77571.0,Generac,39226,2026-05-30,26,BRONZE,40,0,25,25
COLWELL ELECTRIC,(713) 849-4427,on,TX,77040.0,Generac,17352,2026-02-02,26,BRONZE,40,0,25,25
PRUITT ELECTRIC CO OF ARLINGTON INC,(817) 478-8869,kennedale,TX,76060.0,Generac,17071,2026-03-12,26,BRONZE,40,0,25,25
TRUE TX ELECTRIC LLC,(361) 548-4997,helotes,TX,78023.0,Generac,38750,2026-01-03,26,BRONZE,40,0,25,25
CALLAHAN ELECTRIC LLC,(903) 440-2302,elgin,TX,78621.0,Generac,38695,2025-11-27,26,BRONZE,40,0,25,25
"CURRENT POWER TECH- HOUSTON, LLC",(210) 934-1314,on,TX,77055.0,Generac,38660,2026-11-06,26,BRONZE,40,0,25,25
"Orthodox Electric, Llc - Navasota",936 500-0739,Navasota,TEXAS,77868.0,Cummins,38638,2026-10-27,26,BRONZE,40,0,25,25
GENERATOR SUPERCENTER WEATHERFORD,(817) 661-1500,,TX,76087.0,Generac,38511,2026-09-26,26,BRONZE,40,0,25,25
GREEN LIGHT ELECTRIC,(210) 307-9847,revi,ew,11115.0,Generac,35520,2025-11-01,26,BRONZE,40,0,25,25
"BRIGHT BULBS ELECTRIC CO, INC.",(909) 912-5000,and,CA,91768.0,Generac,38324,2026-07-26,26,BRONZE,40,0,25,25
Treehouse,(323) 577-6795,,IL,,Tesla,38321,2026-07-25,26,BRONZE,40,0,25,25
"Pip Team, Inc. Dba Partners In Power - Lubbock",480 568-9581,Wolfforth,TEXAS,79382.0,Cummins,39537,2026-09-26,26,BRONZE,40,0,25,25
"A Star Heat & Air, Inc.",9724850813,Dallas,TX,75041.0,Mitsubishi,38309,2026-07-24,26,BRONZE,40,0,25,25
"Reinhold Electric, Inc. - St. Louis",314 631-1158,St. Louis,MISSOURI,63125.0,Cummins,39569,2026-10-03,26,BRONZE,40,0,25,25
PREMIER GENERATORS OF TEXAS LLC,(214) 945-2525,ano,TX,75074.0,Generac,37068,2026-05-13,26,BRONZE,40,0,25,25
POWERMEANS ELECT CONTRACTING INC,(737) 263-5823,ipping springs,TX,78620.0,Generac,37937,2026-04-05,26,BRONZE,40,0,25,25
Mason Electric - Lovelady,936 348-8792,Lovelady,TEXAS,75851.0,Cummins,39594,2026-10-15,26,BRONZE,40,0,25,25
Hg Electric - Livingston,936 933-8116,Livingston,TEXAS,77351.0,Cummins,39609,2026-10-21,26,BRONZE,40,0,25,25
Gemstone Electric Llc - Kerrville,830 890-1879,Kerrville,TEXAS,78028.0,Cummins,37887,2026-03-22,26,BRONZE,40,0,25,25
RESILIENT POWER,(214) 387-7878,frisco,TX,75034.0,Generac,39611,2026-10-22,26,BRONZE,40,0,25,25
SOLARTIME USA LLC,9726757725,RICHARDSON,TX,75081.0,Briggs & Stratton,37586,2026-10-19,26,BRONZE,40,0,25,25
HOLESHOT ELECTRIC LLC,(512) 548-6635,liberty hill,TX,78642.0,Generac,37447,2026-10-24,26,BRONZE,40,0,25,25
Trustwave Electric Llc - Rosharon,281 576-1231,Rosharon,TEXAS,77583.0,Cummins,39862,2026-01-23,26,BRONZE,40,0,25,25
Viper Electric Llc - Spring,832 246-2882,Spring,TEXAS,77389.0,Cummins,37274,2026-08-01,26,BRONZE,40,0,25,25
"Tri-State Water, Power and  Air",5733391800,BOSSIER CITY,LA,71111.0,Briggs & Stratton,37250,2026-06-29,26,BRONZE,40,0,25,25
DYKES ELECTRIC,(512) 993-6584,leander,TX,78641.0,Generac,37189,2026-06-09,26,BRONZE,40,0,25,25
"Cdl Electric Co., Llc - Pittsburg",620 231-6420,Pittsburg,KANSAS,66762.0,Cummins,37170,2026-06-01,26,BRONZE,40,0,25,25
GENERATOR SUPER CENTER-SAN ANTONIO,(210) 985-0150,san antonio,TX,78217.0,Generac,37130,2026-05-20,26,BRONZE,40,0,25,25
"ZUBRAS ELECTRIC, INC.",(214) 319-6900,ive dallas,TX,75227.0,Generac,17356,2026-07-23,26,BRONZE,40,0,25,25
"SUGAR LAND ELECTRIC, LLC",(832) 363-3221,reviews  po b,ox,16400.0,Generac,20310,2026-01-07,26,BRONZE,40,0,25,25
Icon Power,(888) 777-3766,,TX,,Tesla,35350,2026-07-16,26,BRONZE,40,0,25,25
ADIS ELECTRIC LLC,(214) 613-1000,ano,TX,75075.0,Generac,26917,2026-02-23,26,BRONZE,40,0,25,25
A & A GENPRO INC.,(713) 830-3280,on,TX,77041.0,Generac,27430,2026-07-13,26,BRONZE,40,0,25,25
"CITYWIDE ELECTRIC, LLC",(210) 857-0899,san antonio,TX,78250.0,Generac,28247,2026-06-24,26,BRONZE,40,0,25,25
O T ELECTRIC LLC,(832) 256-1570,on,TX,77089.0,Generac,29082,2026-09-05,26,BRONZE,40,0,25,25
HOWARD ELECTRIC,(979) 966-9159,reet dallas,TX,75218.0,Generac,29147,2026-09-25,26,BRONZE,40,0,25,25
STORM GUARDIAN GENERATORS,(281) 648-2177,in,TX,78734.0,Generac,29470,2025-03-07,26,BRONZE,40,0,25,25
"Cable Electric, Inc.",8175951055,NORTH RICHLAND HILLS,TX,76180.0,Briggs & Stratton,19202,2026-09-05,26,BRONZE,40,0,25,25
GELDARD TECHNOLOGIES LLC,(817) 838-8787,haltom city,TX,76117.0,Generac,30421,2025-11-30,26,BRONZE,40,0,25,25
R SQUARED ELECTRIC LLC,(214) 803-7207,dallas,TX,75211.0,Generac,30463,2026-03-18,26,BRONZE,40,0,25,25
DEFINITE ELECTRIC LLC,(832) 580-9613,on,TX,77248.0,Generac,30500,2026-05-12,26,BRONZE,40,0,25,25
SAVIOR ELECTRIC  LLC,(817) 266-2146,fort worth,TX,76116.0,Generac,30705,2026-01-27,26,BRONZE,40,0,25,25
RELIABLE ELECTRIC,(281) 414-8416,on,TX,77057.0,Generac,30839,2026-05-23,26,BRONZE,40,0,25,25
"Glj  Electric, Llc - Levelland",806 782-5033,Levelland,TEXAS,79336.0,Cummins,30863,2026-04-06,26,BRONZE,40,0,25,25
"Generator Exchange, Llc - Spring",281 885-8000,Spring,TEXAS,77386.0,Cummins,31004,2026-10-18,26,BRONZE,40,0,25,25
Grasten Technologies - Conroe,281 259-6500,Conroe,TEXAS,77385.0,Cummins,31032,2026-06-23,26,BRONZE,40,0,25,25
DODSON ELECTRIC & CONSTRUCTION LLC,(817) 682-3455,haslet,TX,76052.0,Generac,31266,2026-10-10,26,BRONZE,40,0,25,25
CROSS ELECTRIC LLC,(817) 847-7111,fort worth,TX,76179.0,Generac,26929,2026-01-21,26,BRONZE,40,0,25,25
"DEEM, LLC",3178602990,Fishers,IN,46037.0,Mitsubishi,26773,2026-11-06,26,BRONZE,40,0,25,25
E.K.I. Electric - Missouri City,281 913-9101,Missouri City,TEXAS,77459.0,Cummins,31511,2026-05-18,26,BRONZE,40,0,25,25
"PANTHER ELECTRIC, INC.",(281) 332-7561,w league city pkwy league city,TX,77573.0,Generac,26609,2026-10-11,26,BRONZE,40,0,25,25
A.C. ELECTRIC LLC,(512) 444-9700,in,TX,78737.0,Generac,20902,2026-12-02,26,BRONZE,40,0,25,25
"A. FULLER ELECTRIC, INC",(281) 499-5333,,TX,77477.0,Generac,19989,2026-09-23,26,BRONZE,40,0,25,25
GENERATORS BY WIRED,(713) 467-1125,tomball,TX,77377.0,Generac,22809,2026-10-05,26,BRONZE,40,0,25,25
EXCELL ELECTRIC,(214) 391-0040,dallas,TX,75218.0,Generac,22899,2026-11-16,26,BRONZE,40,0,25,25
EVANS ELECTRIC LLC,(817) 845-2247,arlington,TX,76006.0,Generac,23954,2026-09-28,26,BRONZE,40,0,25,25
TREMMEL ELECTRIC,(214) 551-9484,ano,TX,75025.0,Generac,24304,2026-08-26,26,BRONZE,40,0,25,25
FLYIN R ELECTRIC,(682) 229-4590,aledo,TX,76008.0,Generac,24572,2026-06-18,26,BRONZE,40,0,25,25
"GENTEX GENERATORS, LLC",(512) 461-2077,spicewood,TX,78669.0,Generac,24831,2026-03-12,26,BRONZE,40,0,25,25
"POWER AND CONTROL INSTALLATIONS, INC.",9047621522,JACKSONVILLE,FL,32211.0,Briggs & Stratton,25398,2026-08-22,26,BRONZE,40,0,25,25
"PURCELL ELECTRIC, INC.",(512) 829-8219,ipping springs,TX,78620.0,Generac,25468,2026-09-03,26,BRONZE,40,0,25,25
"Millerco, Inc. - Gulfport",228 832-3352,Gulfport,MISSISSIPPI,39503.0,Cummins,25694,2026-04-14,26,BRONZE,40,0,25,25
"SMITH ELECTRIC & SIGNS, LLC",(214) 328-8797,garland,TX,75043.0,Generac,26129,2026-02-04,26,BRONZE,40,0,25,25
"GENERATOR SUPERCENTER, INC",(281) 251-6100,tomball,TX,77375.0,Generac,26130,2026-04-02,26,BRONZE,40,0,25,25
"CANO ELECTRIC, INC.",(682) 626-5311,fort worth,TX,76118.0,Generac,26346,2026-06-05,26,BRONZE,40,0,25,25
ASSURANCE ELECTRIC LLC,(281) 997-2512,pearland,TX,77581.0,Generac,26545,2026-09-18,26,BRONZE,40,0,25,25
ELECTRIC DISTRIBUTION & DESIGN SYST,(214) 679-5458,dallas,TX,75243.0,Generac,31359,2026-11-20,26,BRONZE,40,0,25,25
TEAM ENOCH,(817) 888-8880,fort worth,TX,76120.0,Generac,31529,2026-02-05,26,BRONZE,40,0,25,25
MARTIN & MARTIN DESIGN ELECTRIC LLC,(214) 252-0692,dallas,TX,75220.0,Generac,35291,2026-07-21,26,BRONZE,40,0,25,25
"DUVALL ELECTRIC, INC.",(512) 599-4061,in,TX,78757.0,Generac,20485,2026-09-29,26,BRONZE,40,0,25,25
DOB ELECTRIC LLC,(281) 895-3685,on,TX,77084.0,Generac,34018,2026-11-29,26,BRONZE,40,0,25,25
