name,phone,domain,website,city,state,zip,oem_source,scraped_from_zip,license_number,license_type,license_status,license_state,license_tier,license_expiration_date
TMCO/TEMPERATURE MAINTENANCE CO INC,(713) 294-2151,,,on,TX,77026.0,Generac,77002,27372,Electrical,Active,TX,BULK,2025-12-31
A & A GENPRO INC.,(713) 830-3280,aagenpro.com,https://www.aagenpro.com/,on,TX,77041.0,Generac,77002,27430,Electrical,Active,TX,BULK,2026-07-13
Bart Wilson Electrical Service,9038241620,,,Jefferson,TX,75657.0,Briggs & Stratton,71101,27635,Electrical,Active,TX,BULK,2026-02-05
"CITYWIDE ELECTRIC, LLC",(210) 857-0899,citywideelectric.net,https://www.citywideelectric.net/,san antonio,TX,78250.0,Generac,78201,28247,Electrical,Active,TX,BULK,2026-06-24
Bnk Generator Services - Gilmer,903 746-1058,bnkservices.com,https://bnkservices.com/,Gilmer,TEXAS,75644.0,Cummins,2101,28302,Electrical,Active,TX,BULK,2026-08-18
O T ELECTRIC LLC,(832) 256-1570,otelectric-htx.com,https://www.otelectric-htx.com/,on,TX,77089.0,Generac,77002,29082,Electrical,Active,TX,BULK,2026-09-05
HOWARD ELECTRIC,(979) 966-9159,,,reet dallas,TX,75218.0,Generac,75201,29147,Electrical,Active,TX,BULK,2026-09-25
PRINCIPAL ELECTRICAL CONTRACTOR LLC,(713) 895-9606,,,on,TX,77080.0,Generac,77002,29344,Electrical,Active,TX,BULK,2025-12-22
"Gogen Services, Inc. - Sulphur",337 527-5599,,,Sulphur,LOUISIANA,70663.0,Cummins,33101,29425,Electrical,Active,TX,BULK,2026-02-11
STORM GUARDIAN GENERATORS,(281) 648-2177,stormgg.com,https://www.stormgg.com/,in,TX,78734.0,Generac,78701,29470,Electrical,Active,TX,BULK,2025-03-07
AUSTIN GENERATOR SERVICE,(512) 251-2247,austingenerator.net,https://www.austingenerator.net/,in,TX,78728.0,Generac,78701,29729,Electrical,Active,TX,BULK,2024-07-25
TeraVolt Energy,2103748372,,,NEW BRAUNFELS,CA,78132.0,Briggs & Stratton,78201,29751,Electrical,Active,TX,BULK,2026-08-12
RUIZ ELECTRICAL SERVICES LLC,(832) 470-3507,,,spring,TX,77386.0,Generac,77002,29835,Electrical,Active,TX,BULK,2026-09-26
HMR ELECTRICAL CONTRACTING LLC,3182264510,hmrelectricalla.com,http://www.hmrelectricalla.com/,SHREVEPORT,LA,71107.0,Briggs & Stratton,71101,29867,Electrical,Active,TX,BULK,2026-07-11
"AMPOLOGY ELECTRICAL SERVICES, LLC",(512) 518-3791,,,in,TX,78753.0,Generac,78701,29870,Electrical,Active,TX,BULK,2026-10-17
South Texas Solar Systems,2108295420,txsolarsystems.com,http://www.txsolarsystems.com/,San Antonio,TX,78217.0,SMA Solar,78701,30019,Electrical,Active,TX,BULK,2026-02-12
"BRADFORD BROTHERS UNDERGROUND SERVICE, INC.",5123000839,bradfordline.com,http://www.bradfordline.com/,AUSTIN,TX,78754.0,Briggs & Stratton,78701,30117,Electrical,Active,TX,BULK,2026-03-13
DM ELECTRICAL AND CONSTRUCTION LLC,(346) 773-4920,dmelectricalinc.com,https://dmelectricalinc.com/,on,TX,77081.0,Generac,77002,30363,Electrical,Active,TX,BULK,2026-08-07
GELDARD TECHNOLOGIES LLC,(817) 838-8787,,,haltom city,TX,76117.0,Generac,75229,30421,Electrical,Active,TX,BULK,2025-11-30
R SQUARED ELECTRIC LLC,(214) 803-7207,rsquaredelectric.com,https://rsquaredelectric.com/,dallas,TX,75211.0,Generac,75201,30463,Electrical,Active,TX,BULK,2026-03-18
DEFINITE ELECTRIC LLC,(832) 580-9613,definiteelectric.com,https://definiteelectric.com/,on,TX,77248.0,Generac,77002,30500,Electrical,Active,TX,BULK,2026-05-12
GONZALEZ ELECTRICAL CONTRACTOR,(210) 589-3976,,,po b,ox,24028.0,Generac,78201,30525,Electrical,Active,TX,BULK,2026-12-09
PCI ELECTRICAL,(281) 797-1997,pcielectricalservices.com,https://pcielectricalservices.com/,humble,TX,77347.0,Generac,77002,30544,Electrical,Active,TX,BULK,2025-12-20
SAVIOR ELECTRIC  LLC,(817) 266-2146,,,fort worth,TX,76116.0,Generac,76102,30705,Electrical,Active,TX,BULK,2026-01-27
RELIABLE ELECTRIC,(281) 414-8416,reliableelectrictx.com,https://www.reliableelectrictx.com/,on,TX,77057.0,Generac,77002,30839,Electrical,Active,TX,BULK,2026-05-23
"Glj  Electric, Llc - Levelland",806 782-5033,gljelectric.com,https://www.gljelectric.com/,Levelland,TEXAS,79336.0,Cummins,2101,30863,Electrical,Active,TX,BULK,2026-04-06
"Generator Exchange, Llc - Spring",281 885-8000,,,Spring,TEXAS,77386.0,Cummins,36601,31004,Electrical,Active,TX,BULK,2026-10-18
Grasten Technologies - Conroe,281 259-6500,,,Conroe,TEXAS,77385.0,Cummins,36601,31032,Electrical,Active,TX,BULK,2026-06-23
DODSON ELECTRIC & CONSTRUCTION LLC,(817) 682-3455,dodsonelectric.com,https://www.dodsonelectric.com/,haslet,TX,76052.0,Generac,76102,31266,Electrical,Active,TX,BULK,2026-10-10
"JM ENGINEERING, LLC",(512) 614-0226,jm-engineer.com,https://www.jm-engineer.com/,round rock,TX,78665.0,Generac,78701,31295,Electrical,Active,TX,BULK,2026-10-29
HUNTER SERVICE GROUP,(210) 701-0192,hunterservicegroup.com,https://www.hunterservicegroup.com/,san antonio,TX,78249.0,Generac,78201,31355,Electrical,Active,TX,BULK,2026-11-19
ELECTRIC DISTRIBUTION & DESIGN SYST,(214) 679-5458,,,dallas,TX,75243.0,Generac,75201,31359,Electrical,Active,TX,BULK,2026-11-20
OFF GRID ENTERPRISES,4058989190,offgridenterprises.org,http://www.offgridenterprises.org/,NORMAN,OK,73026.0,Briggs & Stratton,73101,31460,Electrical,Active,TX,BULK,2026-01-08
E.K.I. Electric - Missouri City,281 913-9101,ekiconsultinggroup.com,https://ekiconsultinggroup.com/,Missouri City,TEXAS,77459.0,Cummins,36601,31511,Electrical,Active,TX,BULK,2026-05-18
TEAM ENOCH,(817) 888-8880,,,fort worth,TX,76120.0,Generac,75201,31529,Electrical,Active,TX,BULK,2026-02-05
AARON'S ELECTRICAL SERVICE INC,2817190464,aaronselectricalservice.com,http://www.aaronselectricalservice.com/,SPRING,TX,77386.0,Briggs & Stratton,77001,31569,Electrical,Active,TX,BULK,2026-02-25
Elevation Solar,4804924232,poweredbyelevation.com,http://www.poweredbyelevation.com/,San Jose,CA,95113.0,SMA Solar,94024,31577,Electrical,Active,TX,BULK,2026-02-23
DIETRICH ELECTRICAL SERVICES LLC,(210) 387-7949,dietrichelectricalservices.com,https://www.dietrichelectricalservices.com/,helotes,TX,78023.0,Generac,78201,31582,Electrical,Active,TX,BULK,2026-04-11
VOLTEX ELECTRIC AND GENERATOR LLC,(713) 355-7816,,,on,TX,77075.0,Generac,77002,31679,Electrical,Active,TX,BULK,2026-04-18
DELTA ELECTRIC COMPANY OF BATON ROUGE INC,2253588226,deltaelectricco.com,http://www.deltaelectricco.com/,BATON ROUGE,LA,70812.0,Briggs & Stratton,70801,31769,Electrical,Active,TX,BULK,2024-05-19
CASANOVA ELECTRIC CORP,(210) 318-6169,,,powell san antonio,TX,78204.0,Generac,78201,31805,Electrical,Active,TX,BULK,2026-05-19
E3 Electrical - Houma,985 223-0778,,,Houma,LOUISIANA,70360.0,Cummins,33101,31905,Electrical,Active,TX,BULK,2026-06-24
Beacon Generators Llc - Granbury,817 559-0142,,,Granbury,TEXAS,76049.0,Cummins,2101,32187,Electrical,Active,TX,BULK,2026-11-14
"TIPCO A/C & ELECTRICAL, LLC",(281) 245-5970,,,on,TX,77047.0,Generac,77002,32208,Electrical,Active,TX,BULK,2026-05-20
"TriSMART Solar (Houston, TX)",888-485-5551,trismartsolar.com,http://www.trismartsolar.com,,TX,nan,Enphase,77002,32259,Electrical,Active,TX,BULK,2026-12-12
DKD ENERGY,(512) 766-4556,dkdenergy.com,https://www.dkdenergy.com/,in,TX,78737.0,Generac,78701,32463,Electrical,Active,TX,BULK,2026-03-10
HARWAY ELECTRIC,(817) 308-2002,harway-electric.com,https://harway-electric.com/,burleson,TX,76028.0,Generac,76102,32515,Electrical,Active,TX,BULK,2026-03-29
A-Lectric Company And Contracting Llc. - Shreveport,318 469-3883,,,Shreveport,LOUISIANA,71107.0,Cummins,2101,32578,Electrical,Active,TX,BULK,2026-04-25
Armstrong Mechanical - Lubbock,8067474217,bettercallarmstrong.com,https://bettercallarmstrong.com/,Lubbock,TX,79404.0,Mitsubishi,77002,32611,Electrical,Active,TX,BULK,2026-05-08
Circle L Solar,(817) 945-2011,circlelsolar.com,https://www.circlelsolar.com,,TX,nan,Tesla,76092,32697,Electrical,Active,TX,BULK,2026-06-01
"Brotherlylove Electric, LLC",3467773370,brotherlyloveelectric.com,http://www.brotherlyloveelectric.com/,Pinehurst,TX,77362.0,Briggs & Stratton,77001,32701,Electrical,Active,TX,BULK,2026-05-11
"Ferezco Power Systems, Llc - Poteet",830 742-8680,,,Poteet,TEXAS,78065.0,Cummins,2101,32703,Electrical,Active,TX,BULK,2026-08-14
UNITY ELECTRICAL SERVICES LLC,(713) 999-1890,unityservices.team,https://www.unityservices.team/,cypress,TX,77429.0,Generac,77002,32730,Electrical,Active,TX,BULK,2026-06-13
GENERATORS OF HOUSTON,(713) 812-7285,generatorsofhouston.generacdealers.com,https://generatorsofhouston.generacdealers.com/,on,TX,77070.0,Generac,77002,32828,Electrical,Active,TX,BULK,2026-07-21
EPIC INDUSTRIES,(682) 478-6088,epicelectrical.com,https://www.epicelectrical.com/,north richland hills,TX,76182.0,Generac,76102,33192,Electrical,Active,TX,BULK,2026-06-18
TEXAS ELITE GENERATORS,(832) 309-2398,texaselitegenerators.com,https://www.texaselitegenerators.com/,hutto,TX,78634.0,Generac,78701,33404,Electrical,Active,TX,BULK,2026-02-28
RISE POWER LLC,(855) 747-3769,risepower.energy,https://risepower.energy/,son,TX,75081.0,Generac,75201,33493,Electrical,Active,TX,BULK,2026-04-04
GENERATOR AUTHORITY,(817) 984-3600,,,azle,TX,76020.0,Generac,76102,33662,Electrical,Active,TX,BULK,2026-06-05
BLUE DIAMOND M.E.P.,(512) 371-1888,bluediamondmep.com,https://bluediamondmep.com/,hutto,TX,78634.0,Generac,78701,33694,Electrical,Active,TX,BULK,2026-06-24
MORGAN AIR SERVICES LLC MORGAN PRO SERVI,(713) 466-7426,morganproservices.com,https://www.morganproservices.com/,on,TX,77092.0,Generac,77002,33752,Electrical,Active,TX,BULK,2026-08-12
INLAND MARINE ELECTRICAL SERVICES,(817) 907-8797,inlandmarineelectricalservices.com,https://www.inlandmarineelectricalservices.com/,joshua,TX,76058.0,Generac,76102,33767,Electrical,Active,TX,BULK,2026-03-08
YUKER ELECTRIC LLC,(210) 278-2572,yukerelectricllc.com,https://www.yukerelectricllc.com/,silverwings spring branch,TX,78070.0,Generac,78209,33834,Electrical,Active,TX,BULK,2026-08-23
SIVLEY AND SON'S ELECTRIC,(832) 816-3061,,,katy,TX,77450.0,Generac,77002,33971,Electrical,Active,TX,BULK,2026-08-21
"CANTER POWER SYSTEMS, LLC",(336) 448-4000,canterpowersystems.com,https://canterpowersystems.com/,on,TX,77043.0,Generac,77002,33979,Electrical,Active,TX,BULK,2026-10-31
BREEZE MECHANICAL LLC,(817) 862-9856,breezeairandheat.com,https://breezeairandheat.com/,fort worth,TX,76118.0,Generac,76102,34012,Electrical,Active,TX,BULK,2026-11-20
P & L  Generators - Nacogdoches,936 554-5012,,,Nacogdoches,TEXAS,75965.0,Cummins,2101,34013,Electrical,Active,TX,BULK,2026-02-05
DOB ELECTRIC LLC,(281) 895-3685,dobelectric.com,https://www.dobelectric.com/,on,TX,77084.0,Generac,77024,34018,Electrical,Active,TX,BULK,2026-11-29
CHAMPION AC LLC,(210) 888-9506,championac.com,https://www.championac.com/,university oak san antonio,TX,78249.0,Generac,78201,34080,Electrical,Active,TX,BULK,2026-01-23
AC DC ELECTRICAL SERVICES INC,(512) 573-0777,,,liberty hill,TX,78642.0,Generac,78730,34147,Electrical,Active,TX,BULK,2026-01-29
ESA SYSTEMS LLC,(713) 828-9657,esas-llc.com,https://www.esas-llc.com/,ribbon creek san antonio,TX,78238.0,Generac,78201,34150,Electrical,Active,TX,BULK,2026-02-17
"Precision & Integrity Electric Construction, Inc - Apple Springs",936 635-4992,p-ielectric.com,https://www.p-ielectric.com/,Apple Springs,TEXAS,75926.0,Cummins,2101,34286,Electrical,Active,TX,BULK,2026-03-15
NRG Clean Power Inc.,(800) 698-6627,nrgcleanpower.com,https://www.nrgcleanpower.com,,CA,nan,Tesla,94027,34328,Electrical,Active,TX,BULK,2026-03-26
WADE ELECTRICAL GROUP INC,9404658159,wadeelectricalgroup.com,http://www.wadeelectricalgroup.com/,SANGER,TX,76266.0,Briggs & Stratton,76101,34391,Electrical,Active,TX,BULK,2026-09-29
5G ELECTRIC LLC,(210) 609-5909,,,san antonio,TX,78207.0,Generac,78201,34569,Electrical,Active,TX,BULK,2026-06-15
HUTTO ELECTRICAL SERVICES LLC,(512) 905-9727,huttoelectricalservices.com,https://huttoelectricalservices.com/,reet hutto,TX,78634.0,Generac,78701,34653,Electrical,Active,TX,BULK,2026-07-26
TEXAS ENGINEERED SOLAR LLC,2105161604,txensolar.com,http://www.txensolar.com/,SAN ANTONIO,TX,78233.0,Briggs & Stratton,78201,34731,Electrical,Active,TX,BULK,2026-09-06
G. O. ELECTRICAL LLC,(214) 884-8227,goelectricalllc.com,https://goelectricalllc.com/,,TX,76054.0,Generac,76102,34744,Electrical,Active,TX,BULK,2026-09-12
Total Comfort Mechanical - Nj,7325270091,york.dispatch.me,https://york.dispatch.me/booking/times?externalorganizationid=200414919&optional_checked=true,Eatontown,New Jersey,7724.0,York,7740,34820,Electrical,Active,TX,BULK,2026-10-22
AirCraft Inc,5128361690,aircraftinc.net,https://aircraftinc.net/,Round Rock,TX,78664.0,Mitsubishi,77002,34825,Electrical,Active,TX,BULK,2026-10-23
GENERATOR SUPERCENTER OF AUSTIN,(512) 765-4101,generatorsupercenter.com,https://www.generatorsupercenter.com/,e cedar park,TX,78613.0,Generac,78701,34892,Electrical,Active,TX,BULK,2026-12-02
DYNAMIC SLR INC,(972) 521-6014,dynamicslr.com,https://dynamicslr.com/,son,TX,75082.0,Generac,75201,34989,Electrical,Active,TX,BULK,2026-01-28
BEAR ELECTRIC LLC,(512) 698-2404,,,leander,TX,78641.0,Generac,78701,34992,Electrical,Active,TX,BULK,2026-03-08
"DIAMONDBACK ELECTRICAL SERIVCES, LL",(210) 409-7271,diamondbackelectrical.com,https://diamondbackelectrical.com/,la vernia,TX,78121.0,Generac,78209,35003,Electrical,Active,TX,BULK,2026-02-10
SATX ELECTRIC LLC,(210) 201-3088,satxelectric.com,https://satxelectric.com/,san antonio,TX,78253.0,Generac,78201,35006,Electrical,Active,TX,BULK,2026-02-14
THE SHOCK DOC ELECTRICAL SRVCS LLC,(409) 739-3891,shockdocelectrical.com,https://www.shockdocelectrical.com/,unit a league city,TX,77573.0,Generac,77002,35194,Electrical,Active,TX,BULK,2026-04-09
Kaye Electric - Newton,316 283-0474,kayeelectic.com,https://www.kayeelectic.com/,Newton,KANSAS,67114.0,Cummins,2101,35222,Electrical,Active,TX,BULK,2026-02-02
CARRIERE HVAC-ELECTRIC INC,(832) 913-9261,,,katy,TX,77494.0,Generac,77024,35250,Electrical,Active,TX,BULK,2026-05-04
1 Kva Electric Co. Llc - Willis,936 648-5901,kva-co.com,https://www.kva-co.com/,Willis,TEXAS,77318.0,Cummins,2101,35251,Electrical,Active,TX,BULK,2026-05-05
MARTIN & MARTIN DESIGN ELECTRIC LLC,(214) 252-0692,,,dallas,TX,75220.0,Generac,75201,35291,Electrical,Active,TX,BULK,2026-07-21
Icon Power,(888) 777-3766,iconpwr.com,https://iconpwr.com/,,TX,nan,Tesla,77010,35350,Electrical,Active,TX,BULK,2026-07-16
VETERAN ELECTRICAL LLC,(619) 760-6260,,,ive heath,TX,75126.0,Generac,75201,35450,Electrical,Active,TX,BULK,2026-09-28
