Contractor Name,Phone,Domain,ICP Fit Score,ICP Tier,Resimercial Score,O&M Score,Multi-OEM Score,MEP+R Score,OEM Count,OEM Sources,oem_count_verified,is_multi_oem,LicenseNo,BusinessName,MailingAddress,City_license,County,ZIPCode,BusinessPhone,Classifications(s),PrimaryStatus,ExpirationDate,phone_normalized
GREAT WHITE ELECTRICAL SYSTEMS,(949) 923-8797,,10,BRONZE,0,0,25,50,1,Generac,1,NO,736391.0,GREAT WHITE ELECTRICAL SYSTEMS,81701 AVENIDA PARITO,INDIO,Riverside,92203,(949) 923 8797,C10,CLEAR,05/31/2027,9499238797
"WELLS ELECTRICAL, INC.",(415) 255-7831,wellselectricalinc.com,7,BRONZE,0,0,25,25,1,Generac,1,NO,681529.0,WELLS ELECTRICAL INC,2560 MARIN STREET,SAN FRANCISCO,San Francisco,94124,(415) 255 7831,C10,CLEAR,12/31/2025,4152557831
HITEK ELECTRICAL,(510) 880-5829,ihiredhitek.com,7,BRONZE,0,0,25,25,1,Generac,1,NO,945002.0,HITEK ELECTRICAL,23585 CONNECTICUT ST UNIT 9,HAYWARD,Alameda,94545,(510) 880 5829,C10,CLEAR,03/31/2026,5108805829
ARIE PLUMBING,(323) 934-6104,arieplumbing.com,7,BRONZE,0,0,25,25,1,Generac,1,NO,721792.0,ARIE PLUMBING,2925 W VERNON AVE,LOS ANGELES,Los Angeles,90008,(323) 934 6104,B| C20| C34| C36,CLEAR,05/31/2026,3239346104
"DES ELECTRICAL, INC",(562) 632-1311,deselectrical.net,7,BRONZE,0,0,25,25,1,Generac,1,NO,1005472.0,D E S ELECTRICAL INC,7331 WHITTIER AVE,WHITTIER,Los Angeles,906021132,(562) 632 1311,C10,CLEAR,08/31/2026,5626321311
TOTAL POWER SOLUTIONS LLC.,(714) 650-2445,totalpwrsolutions.com,7,BRONZE,0,0,25,25,1,Generac,1,NO,1111682.0,TOTAL POWER SOLUTIONS LLC,8175 LIMONITE AVE,RIVERSIDE,Riverside,92509,(714) 650 2445,C10,CLEAR,10/31/2025,7146502445
HOLLAND ELECTRICAL,(818) 292-1271,myquiethome.health,7,BRONZE,0,0,25,25,1,Generac,1,NO,650101.0,HOLLAND ELECTRICAL,853 OLD TOPANGA CYN ROAD,TOPANGA,Los Angeles,90290,(818) 292 1271,C10,CLEAR,07/31/2026,8182921271
AC ELECTRIC CONTRACTORS INC,(818) 272-3926,acelectriccontractors.com,7,BRONZE,0,0,25,25,1,Generac,1,NO,1081082.0,AC ELECTRIC CONTRACTORS,1305 KNOX STREET,SAN FERNANDO,Los Angeles,91340,(818) 272 3926,C10,CLEAR,10/31/2026,8182723926
"OFFGRID SYSTEMS, INC.",(619) 368-8185,offgridsys.com,7,BRONZE,0,0,25,25,1,Generac,1,NO,1134949.0,OFFGRID SOLAR & ELECTRIC SYSTEMS,9625 MISSION GORGE RD #B2-369,SANTEE,San Diego,92071,(619) 368 8185,C10| C46,CLEAR,03/31/2027,6193688185
ELECTRICAL INSIGHT INC.,(760) 304-9070,electricalinsight.com,7,BRONZE,0,0,25,25,1,Generac,1,NO,1018854.0,ELECTRICAL INSIGHT INC,1313 SIMPSON WAY SUITE F,ESCONDIDO,San Diego,92029,(760) 304 9070,C10,CLEAR,03/31/2027,7603049070
UNIVERSAL POWER SYSTEMS INC.,(909) 265-6523,universalpowersystems.us,7,BRONZE,0,0,25,25,1,Generac,1,NO,1095337.0,UNIVERSAL POWER SYSTEMS,16118 DARTOLO ROAD,RAMONA,San Diego,92065,(909) 265 6523,C10,CLEAR,08/31/2026,9092656523
CMCONTROLS,(916) 240-7858,cmcontrolsinc.com,7,BRONZE,0,0,25,25,1,Generac,1,NO,847660.0,CMCONTROLS,2485 DAVIS ROAD,WEST SACRAMENTO,Yolo,95691,(916) 240 7858,C10| D21,CLEAR,09/30/2026,9162407858
SIERRA VALLEY MECHANICAL,(916) 635-3120,sierravalleymechanical.com,7,BRONZE,0,0,25,25,1,Generac,1,NO,826606.0,SIERRA VALLEY MECHANICAL,11476 ELKS CIRCLE,RANCHO CORDOVA,Sacramento,95742,(916) 635 3120,B| C10| C17| C20| C46,CLEAR,10/31/2027,9166353120
BROWER MECHANICAL INC,(916) 624-0808,browermechanical.com,7,BRONZE,0,0,25,25,1,Generac,1,NO,1081055.0,BROWER MECHANICAL CA LLC,4060 ALVIS COURT,ROCKLIN,Placer,95677,(916) 624 0808,B| C-2| C10| C20| C36| C46,CLEAR,09/30/2027,9166240808
WILD PEAK ENERGY,(916) 995-9655,wildpeakenergy.com,7,BRONZE,0,0,25,25,1,Generac,1,NO,1138152.0,WILD PEAK ENERGY,6561 HIGHGRADE COURT,PLACERVILLE,El Dorado,95667,(916) 995 9655,C10,CLEAR,05/31/2027,9169959655
TAYLOR ELECTRICAL CONSTRUCTION INC,(408) 278-8888,,7,BRONZE,0,0,25,25,1,Generac,1,NO,709694.0,TAYLOR ELECTRICAL CONSTRUCTION INC,751 AZULE AVE,SAN JOSE,Santa Clara,95123,(408) 278 8888,C10,CLEAR,11/30/2025,4082788888
GENESIS ELECTRICAL,(310) 651-1608,,7,BRONZE,0,0,25,25,1,Generac,1,NO,896880.0,GENESIS ELECTRICAL,1627 E FERNROCK ST,CARSON,Los Angeles,90746,(310) 651 1608,C10,CLEAR,05/31/2027,3106511608
NEW ERA ELECTRICAL INC.,(323) 620-4244,,7,BRONZE,0,0,25,25,1,Generac,1,NO,1093194.0,NEW ERA ELECTRICAL INC,646 EAST 110TH STREET,LOS ANGELES,Los Angeles,90059,(323) 620 4244,C10,CLEAR,06/30/2026,3236204244
BOSMAN ELECTRICAL CONSTRUCTION INC,(818) 353-0850,,7,BRONZE,0,0,25,25,1,Generac,1,NO,756874.0,BOSMAN ELECTRICAL CONSTRUCTION INC,P O BOX 740,MONTROSE,Los Angeles,91021,(818) 353 0850,C10,CLEAR,12/31/2026,8183530850
POWER HOUSE ELECTRICAL LLC,(818) 269-9266,,7,BRONZE,0,0,25,25,1,Generac,1,NO,1022291.0,JETT ELECTRICAL SERVICES,23820 OAKHURST DRIVE,NEWHALL,Los Angeles,91321,(818) 269 9266,C10,CLEAR,01/31/2027,8182699266
AETERNA ENERGY LLC,(805) 823-3232,,7,BRONZE,0,0,25,25,1,Generac,1,NO,1009773.0,AETERNA ENERGY LLC,2645 NUTMEG CIRCLE,SIMI VALLEY,Ventura,93065,(805) 823 3232,B| C-7| C10| C20| C43| C46,CLEAR,12/31/2025,8058233232
BEARDSLEE ELECTRICAL CONCEPTS INC,(530) 306-4452,,7,BRONZE,0,0,25,25,1,Generac,1,NO,1047075.0,BEARDSLEE ELECTRICAL CONCEPTS INC,2347 GLACIER DRIVE,ROCKLIN,Placer,95677,(530) 306 4452,C10,CLEAR,02/28/2027,5303064452
"J & J OWENS ELECTRIC, INC.",(650) 222-0417,owenselectricinc.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,464389.0,OWENS ELECTRIC & SOLAR,P O BOX 1646,BURLINGAME,San Mateo,940111646,(650) 222 0417,B| C10,CLEAR,10/31/2026,6502220417
"CENTURY ROOF AND SOLAR, INC.",(510) 780-9489,centuryroofandsolar.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,721502.0,CENTURY ROOF AND SOLAR INC,23135 SAKLAN ROAD,HAYWARD,Alameda,94545,(510) 780 9489,C10| C39,CLEAR,09/30/2026,5107809489
KEPLER ELECTRIC LLC,(650) 468-2419,keplerelectric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1101817.0,KEPLER ELECTRIC LLC,611 GATEWAY BLVD,SOUTH SAN FRANCISCO,San Mateo,94030,(650) 468 2419,C10,CLEAR,12/31/2026,6504682419
MARIN ELECTRIC INC,(415) 726-0809,marinelectricians.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1081103.0,MARIN ELECTRIC,PO BOX 425,CORTE MADERA,Marin,94976,(415) 726 0809,C10,CLEAR,09/30/2027,4157260809
DIVINE ELECTRIC INC,(415) 299-0381,divineelectricandplumbing.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,817357.0,DIVINE ELECTRIC AND PLUMBING,2935 KERNER BLVD STE B,SAN RAFAEL,Marin,94901,(415) 299 0381,C10| C36,CLEAR,11/30/2025,4152990381
ILLUMINATE ELECTRIC SF INC.,(510) 631-1724,illluminateelectric.net,5,BRONZE,0,0,25,0,1,Generac,1,NO,1054335.0,ILLUMINATE ELECTRIC SF INC,5726 NOTTINGHAM DRIVE,EL SOBRANTE,Contra Costa,94803,(510) 631 1724,C10,CLEAR,10/31/2026,5106311724
"BRAZIL ELECTRIC, INC",(925) 944-9600,brazilelectricinc.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,828012.0,BRAZIL ELECTRIC INC,3380 VINCENT RD #107,PLEASANT HILL,Contra Costa,94523,(925) 944 9600,C10,CLEAR,12/31/2025,9259449600
IN & OUT ELECTRIC INC.,(408) 390-5494,inoutelectric.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1013904.0,IN & OUT ELECTRIC INC,33132 NAVARRO DRIVE,UNION CITY,Alameda,94587,(408) 390 5494,C10,CLEAR,11/30/2026,4083905494
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1002780.0,"MUNOZ ENTERPRISES, INC.",4966 HOLLYHOCK LANGE,RIVERSIDE,Riverside,92505,,B| B-2| C21,CLEAR,04/30/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1009329.0,NUSTAR ELECTRIC,25683 FICUS CT,MORENO VALLEY,Riverside,92557,,C10,CLEAR,06/30/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1012750.0,EIFFEL GLASS  WINDOWS & DOORS,23632 VIA FABRICANTE #G,MISSION VIEJO,Orange,92691,(949) 584 526+,B| C17,CLEAR,04/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1012987.0,SORENSEN KURT,34660 ALMOND ST,WILDOMAR,Riverside,92595,,B| C10,CLEAR,04/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1016763.0,SG QUALITY BUILDERS INC,5726 W 6TH ST,RIO LINDA,Sacramento,95673,,B| C36,CLEAR,08/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1025247.0,VISIONARY LANDSCAPE DESIGN & MAINTENANCE,1219 S CITRUS AVE,ESCONDIDO,San Diego,92027,,C27,CLEAR,03/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1026006.0,WINDOW CRAFTERS INC,17552 GRIFFIN LANE,HUNTINGTON BEACH,Orange,92627,,B| C17| D28,CLEAR,04/30/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1035084.0,MAXON MECHANICAL INC,3930 SIERRA COLLEGE BLVD,LOOMIS,Placer,95650,,C20,CLEAR,01/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1036182.0,APN LANDSCAPING INC,17442 HEMPHILL ST,LA PUENTE,Los Angeles,91744,,C27| D49,CLEAR,02/28/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1036236.0,CAPITOL GARAGE DOOR & GENERAL CONSTRUCTION INC,5540 HACKBERRY LANE,SACRAMENTO,Sacramento,95841,,B| D28,CLEAR,02/28/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1036742.0,LA TAMIX PLUMBING INC,1154 MAGNOLIA AVE #106,LOS ANGELES,Los Angeles,90006,,C36,CLEAR,05/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1044118.0,ANDY CONSTRUCTION LP,2820 GIBSON VIEW WAY,ANTELOPE,Sacramento,95843,,B| C17,CLEAR,09/30/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1061250.0,PLANET HOME CONSTRUCTION,3000 LOWELL AVE,RICHMOND,Contra Costa,94804,,B| C36,CLEAR,12/31/2025,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1062022.0,TRINITY LANDSCAPING,1885 EAGLEROCK DR,SAN MARCOS,San Diego,92069,,C27,CLEAR,01/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1064153.0,GRAND CONCRETE INC,P O BOX 311197,FONTANA,San Bernardino,92331,,A| C-8,CLEAR,03/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1067111.0,MELGAR ELECTRICS LLC,3609 PACKARD AVE,JURUPA VALLEY,Riverside,92509,,C10| D06,CLEAR,06/30/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1067988.0,DEL SOL PLUMBING AND DRAIN,2043 KELTIC LODGE DR,OXNARD,Ventura,93036,,C36,CLEAR,08/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1068108.0,GREY BEARD ELECTRIC,16057 NOTRE DAME ST,FONTANA,San Bernardino,92336,,C10,CLEAR,08/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1070150.0,CENTRAL COAST SOLAR,1242 14TH STREET,LOS OSOS,San Luis Obispo,93402,,C10,CLEAR,10/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1075924.0,ABOVE ALL MAINTENANCE & REPAIR,1983 BANKSTWON WAY,PERRIS,Riverside,92571,,B| C36,CLEAR,05/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1077715.0,GOMRINGER CONSTRUCTION SERVICES,528 W GREENDALE STREET,COVINA,Los Angeles,91723,,B| HAZ,CLEAR,07/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1079325.0,SERVICE STAR PLUMBING,2035 CARROLL AVE,SAN FRANCISCO,San Francisco,94124,,C36,CLEAR,08/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1080240.0,WANG PAUL,1372 FALLEN LEAF DR,MILPITAS,Santa Clara,95035,,B| C10,CLEAR,08/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1082242.0,CGS LANDSCAPING,1782 W EUCILD AVE APT 142,EL CENTRO,Imperial,92243,,C27,CLEAR,10/31/2025,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1083770.0,DENIZ CONSTRUCTION INC,P O BOX 924,EXETER,Tulare,93221,,B| C-8,CLEAR,11/30/2025,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1084187.0,CORA ELECTRIC COMPANY,1267 BAY VIEW AVENUE,WILMINGTON,Los Angeles,90744,,C10,CLEAR,11/30/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1084993.0,TRAN GIAO,9148 ROBINSON RD,FRANKLIN PARK,,60131,,C36,Contr Bond Susp,12/31/2025,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1085126.0,SRD ELECTRIC INC,3923 BAYBERRY DR,CHINO HILLS,San Bernardino,91709,,C10,CLEAR,12/31/2025,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1085498.0,LIGHTNING STAR ELECTRIC COMPANY,5333 STANDING ROCK PL,LAS VEGAS,,89130,,C10,CLEAR,12/31/2025,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1089266.0,KEEP IT FLOWING SEWER & DRAIN SPECIALIST,P O BOX 280609,NORTHRIDGE,Los Angeles,91342,,A| C36,CLEAR,03/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1091016.0,GRAVITY ELECTRIC INC,924 14TH PL,ESCONDIDO,San Diego,92025,,C10,CLEAR,05/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1091532.0,CONSTRUCTION CLEAN UP COMPANY,552 E CARSON STREET 104 367,CARSON,Los Angeles,90745,,B| D63,CLEAR,05/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1094028.0,BRIDGEROCK CONSTRUCTION INC,524 S 4TH AVE,LA PUENTE,Los Angeles,91746,,B| C10,CLEAR,12/31/2025,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1099226.0,HOUSERIGHT AUDIO VIDEO PRODUCTION,961 BEASLEY STREET SUITE 120,LEXINGTON,,40509,,C-7,CLEAR,12/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1099475.0,ILLESCAS JULIO G,3840 W 111 ST,INGLEWOOD,Los Angeles,90303,,C27,CLEAR,12/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1099847.0,SEQUOIA OUTDOOR DESIGN & BUILD INC,204 E 2ND AVE #144,SAN MATEO,San Mateo,94401,,A| C-8| C27| D06| D12,CLEAR,12/31/2026,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1103759.0,BARIOM INC,1675 MORENA BLVD STE 206,SAN DIEGO,San Diego,92110,,C10,CLEAR,04/30/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1105351.0,THE LEAK EXPERTS LLC,1090 PENDLETON WAY,COACHELLA,Riverside,92236,,C36,CLEAR,05/31/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1108367.0,FANCY REMODELING,574 COMBES AVE,THOUSAND OAKS,Ventura,91360,,B| B-2| C39,CLEAR,09/30/2027,
OFFERING,1-888-Generac,generacpowerproducts.com,5,BRONZE,0,0,25,0,1,Generac,1,NO,1109971.0,J S BUILDERS INC,P O BOX 743,PALO CEDRO,Shasta,96073,,A| B| HAZ,CLEAR,09/30/2027,
